/worldcup/teams/team/43948/|Alemania
/worldcup/teams/team/43835/|Arabia Saudí
/worldcup/teams/team/43922/|Argentina
/worldcup/teams/team/43976/|Australia
/worldcup/teams/team/43935/|Bélgica
/worldcup/teams/team/43924/|Brasil
/worldcup/teams/team/43926/|Colombia
/worldcup/teams/team/43901/|Costa Rica
/worldcup/teams/team/43938/|Croacia
/worldcup/teams/team/43941/|Dinamarca
/worldcup/teams/team/43855/|Egipto
/worldcup/teams/team/43969/|España
/worldcup/teams/team/43946/|Francia
/worldcup/teams/team/43942/|Inglaterra
/worldcup/teams/team/43951/|Islandia
/worldcup/teams/team/43819/|Japón
/worldcup/teams/team/43872/|Marruecos
/worldcup/teams/team/43911/|México
/worldcup/teams/team/43876/|Nigeria
/worldcup/teams/team/43914/|Panamá
/worldcup/teams/team/43929/|Perú
/worldcup/teams/team/43962/|Polonia
/worldcup/teams/team/43963/|Portugal
/worldcup/teams/team/43822/|República de Corea
/worldcup/teams/team/43817/|RI de Irán
/worldcup/teams/team/43965/|Rusia
/worldcup/teams/team/43879/|Senegal
/worldcup/teams/team/1902465/|Serbia
/worldcup/teams/team/43970/|Suecia
/worldcup/teams/team/43971/|Suiza
/worldcup/teams/team/43888/|Túnez
/worldcup/teams/team/43930/|Uruguay
